delocated_monad,10km_location,location_qualifier,easting_sw_delocated,northing_sw_delocated,easting_centroid_delocated,northing_centroid_delocated,plot_number,fizz_test,fizz_test_qualifier,soil_moisture_content,soil_moisture_content_qualifier,ACYC_CO2,ACYC_CO2_qualifier,AKGA_CO2,AKGA_CO2_qualifier,ARA_CO2,ARA_CO2_qualifier,ARG_CO2,ARG_CO2_qualifier,CIT_CO2,CIT_CO2_qualifier,CYS_CO2,CYS_CO2_qualifier,FRU_CO2,FRU_CO2_qualifier,GABA_CO2,GABA_CO2_qualifier,GLU_CO2,GLU_CO2_qualifier,LYS_CO2,LYS_CO2_qualifier,MAL_CO2,MAL_CO2_qualifier,NAGA_CO2,NAGA_CO2_qualifier,OXA_CO2,OXA_CO2_qualifier,PRO_CO2,PRO_CO2_qualifier,TRE_CO2,TRE_CO2_qualifier,WAT_CO2,WAT_CO2_qualifier
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,4,0,,26.7,,0.7,,7.18,,1.86,,1.58,,5.14,,1.14,,2.9,,1.28,,2.97,,0.73,,3.31,,2.14,,1.95,,1.49,,1.83,,0.49,
SW72-X-48,SW72,Sample location delocated to a 10km square (see metadata),170000,20000,175000,25000,6,0,,31.73,,0.97,,7.46,,3.16,,1.71,,5.41,,1.82,,4.02,,1.82,,3.85,,1.17,,4.47,,2.86,,2.56,,2.02,,3.07,,0.6,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,1,0,,27.93,,1.44,,8.75,,2.8,,1.91,,6.24,,1.54,,3.38,,1.9,,3.32,,1.39,,3.34,,1.98,,2.06,,2.78,,2.93,,0.92,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,2,0,,24.86,,1.62,,9.65,,2.99,,3.04,,6.52,,1.78,,3.68,,2.23,,5.01,,1.5,,4.69,,3.23,,2.16,,3.1,,3.95,,1.42,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,3,0,,32.44,,2.38,,10.63,,4.19,,2.77,,6.24,,2.51,,4.96,,2.94,,4.96,,1.99,,4.52,,3.35,,2.95,,2.85,,4.7,,1.61,
SW83-X-65,SW83,Sample location delocated to a 10km square (see metadata),180000,30000,185000,35000,4,0,,25.2,,1.68,,8.71,,3.3,,2.81,,5.9,,1.81,,4.1,,2.49,,4.68,,1.87,,4.42,,3.27,,2.11,,2.7,,3.83,,1.13,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,1,0,,31.92,,1.8,,10.99,,4.13,,2.77,,6.53,,2.52,,5.04,,3.05,,5.34,,1.8,,5.58,,3.37,,3.68,,3.23,,4.88,,1.34,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,2,0,,41.9,,3.14,,12.66,,6.39,,6.87,,8.68,,4.4,,8.98,,4.86,,9.84,,3.06,,8.86,,6.27,,4.08,,7.04,,7.69,,1.95,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,3,0,,39.83,,3.02,,12.43,,7.15,,5.35,,8.73,,3.83,,8.72,,4.62,,8.52,,2.93,,8.37,,5.83,,4.2,,5.32,,6.98,,1.86,
SW84-X-14,SW84,Sample location delocated to a 10km square (see metadata),180000,40000,185000,45000,4,0,,29.86,,1.32,,8.86,,2.83,,2.76,,5.97,,1.87,,3.64,,2.01,,3.94,,1.3,,3.84,,2.38,,2.16,,3,,3.11,,0.76,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,1,2,,27.88,,0.73,,10.94,,2.04,,0.93,,7.06,,2.36,,3.25,,1.13,,3.63,,1.18,,7.1,,1.76,,2.11,,1.56,,2.03,,0.51,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,2,1,,39.15,,2.93,,18.21,,6.44,,2.91,,14.39,,6.28,,9.56,,3.77,,10.24,,3.17,,14.45,,7.86,,6.11,,7.3,,5.5,,1.2,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,3,1,,33.28,,2.25,,10.99,,4.68,,2.99,,7.76,,4.44,,7.23,,3.27,,6.39,,1.98,,8.46,,5.53,,3.84,,4.36,,5.28,,1.02,
SX06-X-23,SX06,Sample location delocated to a 10km square (see metadata),200000,60000,205000,65000,4,1,,27.76,,0.84,,13.22,,2.54,,0.73,,6.48,,2.51,,3.8,,1.31,,4.17,,1.22,,7.84,,2.99,,2.36,,2.5,,2.73,,0.43,
